ICAO,Full Name,Receiver callsign,Altitude max,Latitude min,Latitude max,Longitude min,Longitude max,Airfield altitude,Password,Country,APRS callsign,Comment
EKLV,Lemvig Flyveklub,EKLV,730,56.5001,56.50646,8.29957,8.32461,30,,EK,,
EKMB,Maribo Airport,EKMB,705,54.69626,54.70184,11.42468,11.45234,5,,EK,EKMB|TorebyLL,
EKHG,Skinderholm,EKHG,751,56.181511,56.188975,9.0250,9.0550,51,,EK,,
EKSL,Slaglille,EKSL,734,55.44932,55.45537,11.6312,11.65685,34,,EK,,
TRUE,True,True,768,56.17536,56.18217,10.06477,10.08825 ,68,,EK,,
EKVH,Vesthimmerland Flyveplads,EKVH,736,56.8387,56.85077,9.44546,9.47129 ,36,,EK,,
EKSP,Vojens Skrydstrup,EKSP,741,55.21296,55.22814,9.234375,9.29724 ,41,,EK,,
ELUS,Useldange,ELUS|Useldange,983,49.76309,49.77372,5.95041,5.98131 ,283,,EL,Useldange,
ENSM,Elverum / Starmoen,ENSM,901,60.86937,60.88514,11.65328,11.6916,201,,EN,,ne fonctionne plus depuis 2004
EPLS,Leszno Strzyzewice,EPLS,794,51.82579,51.84613,16.50286,16.5429,94,,EP,,
EPLU,Lubin,EPLU,856,51.41575,51.43126,16.17909,16.21055,156,,EP,,
EPLR,Lublin Radawiec,EPLR,940,51.21496,51.22867,22.38071,22.41239,240,,EP,,
EPKP,Pobiednik,EPKP,901,50.0829,50.09477,20.19089,20.21312 ,201,,EP,,
EPOP,Polska Nowa Wies,EPOP,888,50.62521,50.63955,17.76729,17.793 ,188,,EP,,
EPZR,Zar,EPZR,1093,49.76534,49.77856,19.20728,19.2293,393,,EP,,
ESGI,Alingsas,ESGI,771,57.94434,57.95415,12.572,12.579,71,,ES,,
ESGC,Alleberg,ESGC|Alleberg,1031,58.13057,58.13934,13.59554,13.6091,331,,ES,ESGC,
ESQO,Arboga,ESQO,710,59.37763,59.39992,15.89671,15.93722,10,,ES,,
ESGE,Boras Viared,ESGE,874,57.69142,57.69951,12.83719,12.85215,174,,ES,,
ESSD,Borlange,ESSD,853,60.40585,60.43835,15.4701,15.55001,153,,ES,,il ya aussi un ESSD2
ESKD,Dala Jarna,ESKD,935,60.54754,60.56577,14.36361,14.39129,235,,ES,,
ESSC,Eskilstuna,ESSC,713,59.37518,59.39293,16.42153,16.46526,13,,ES,,
ESGK,Falkoping,ESGK,939,58.16011,58.17705,13.57348,13.59734,239,,ES,,
ESSX,Johannisberg,ESSX,709,59.56728,59.58799,16.47721,16.52352 ,9,,ES,,ne fonctionne plus depuis septembre 2015
KRONO,Kronobergshed,Kronobhed,884,56.96932,56.98165,14.56215,14.57078 ,184,,ES,,
ESVL,Langtora,ESVL,714,59.74388,59.75097,17.13373,17.15618 ,14,,ES,,
MOTAL,Motala,Motala,803,58.48264,58.49727,15.0946,15.10747,103,,ES,,
OTTSJO,Ottsjö,Ottsjo,1200,63.1862,63.24159,12.90818,13.16206 ,500,,ES,,ne fonctionne plus avril 2016
ESKC,Sundbro,ESKC,722,59.91515,59.92899,17.523,17.548 ,22,,ES,,
ESSZ,Vangso,ESSZ,717,59.09656,59.10546,17.20024,17.22153 ,17,,ES,,
FATP,New Tempe,FATP,2086,-29.05145,-29.02569,26.1508,26.17518 ,1386,,FA,,Attêt des vérifications sous https://ogn.peanutpod.de
FAPS,Potchefstroom,FAPS,2078,27.0785951614,27.0912927389,-26.6609979233,-26.6793145454,1378,,FA,,
FYKH,Kiripotib,FYKH,2064,-23.3462,-23.32339,17.93251,17.95517 ,1364,,FY,,
LEFM,Fuentemilanos,LEFM,1700,40.88192,40.8949,-4.24509,-4.23271,1000,,LE,,
LECD,La Cerdanya,LECD,1800,42.38275,42.39099,1.85386,1.87202 ,1100,,LE,,
LELT,Lillo,LELT,1381,39.71342,39.7204,-3.32882,-3.31273,681,,LE,,
LEOC,Ocana,LEOC,1435,39.93532,39.93942,-3.50955,-3.49153 ,735,,LE,,
LECI,Santa Cilia,LECI1,1391,42.56576,42.57189,-0.73705,-0.7189,691,,LE,,
LFOI,Abbeville,LFOI,767,50.13,50.15,1.8,1.86,67,,LF,,
LFDA,Aire sur L'adour,LFDA,781,43.70396,43.71272,-0.25687,-0.23764,81,,LF,,
LFAQ,Albert Bray,LFAQ,811,49.9649,49.97537,2.67074,2.71765,111,,LF,,
LFAY,Amiens Glisy,LFAY,763,49.8679,49.87699,2.37495,2.4011,63,,LF,,
LFJR,Angers Marce,LFJR|LFJR2,752,47.54773,47.57006,-0.34228,-0.28048,52,,LF,LFJR,
LFBU,Angoulême Brie-Champniers,LFBU,833,45.72601,45.73276,0.20141,0.23725,133,,LF,,
LFCH,Arcachon La Teste de Buch,LFCH,716,44.58919,44.60001,-1.1248,-1.10139,16,,LF,,
LFEG,Argenton Sur Creuse,LFEG|LFEG2,900,46.58849,46.60363,1.58867,1.61369,200,,LF,/,
LFNJ,Aspres sur Buech,LFNJ,1531,44.51014,44.52235,5.731327,5.74493,831,,LF,,
LFHO,Aubenas,LFHO,981,44.53541,44.55577,4.36385,4.37671,281,,LF,,
LFJF,Aubenasson,LFJF,946,44.6919,44.69791,5.1415,5.15929,246,,LF,,
LFDH,Auch,LFDH,825,43.67024,43.69876,0.59184,0.60711,125,,LF,,
LFLA,Auxerre Branches,LFLA,853,47.83743,47.86672,3.48275,3.51065,153,,LF,,
LFNT,Avignon Pujaut,LFNT,745,43.98762,44.00531,4.74227,4.76744,45,,LF,,
LFCB,Bagneres De Luchon,LFCB,1318,42.79324,42.80681,0.596734,0.60394,618,,LF,,
LFFL,Bailleau Armenonville,LFFL,855,48.51097,48.52369,1.6242,1.64514,155,,LF,,
LFMR,Barcelonnette Saint Pons,LFMR,1832,44.38474,44.38959,6.5981,6.61748,1132,,LF,,
LFGG,Belfort Chaux,LFGG,1117,47.6936,47.70828,6.82484,6.83608,417,,LF,,
LFBS,Biscarrosse Parentis,LFBS,730,44.36031,44.37097,-1.14672,-1.1217,30,,LF,,
LFOQ,Blois Le Breuil,LFOQ,821,47.66765,47.68417,1.19751,1.21841,121,,LF,,
LFCS,Bordeaux Leognan Saucats,LFCS,759,44.69173,44.70616,-0.60316,-0.58913,59,,LF,,
LFHS,Bourg Ceyzeriat,LFHS,961,46.19381,46.21038,5.28514,5.29763,261,,LF,,
LFFB,Buno Bonnevaux,LFFB,828,48.34183,48.35605,2.40843,2.43508,128,,LF,,
LFCC,Cahors Lalbenque,LFCC,978,44.34639,44.35779,1.46306,1.48739,278,,LF,,
LFYG,Cambrai Niergnies,LFYG,795,50.1206,50.14626,3.24257,3.27772,95,,LF,,
LFNH,Carpentras,LFNH,820,44.02052,44.03456,5.07444,5.0947,120,,LF,,
LFCX,Castelsarrasin Moissac,LFCX,774,44.08324,44.08992,1.11842,1.13612,74,,LF,,
LFQK,Chalon Ecury Sur Coole,LFQK,797,48.89664,48.91241,4.33942,4.36159,97,,LF,,
LFLE,Chambéry Challes-les-Eaux,LFLE,997,45.55,45.567,5.96,5.99,297,,LF,,
LFOR,Chartres Champhol,LFOR,855,48.45204,48.46295,1.50418,1.53508,155,,LF,,
LFMX,Chateau Arnoux Saint Auban,LFMX,1159,44.04676,44.07041,5.97311,6.03491,459,,LF,,
LFOU,Cholet Le Pontreau,LFOU,835,47.07456,47.08987,-0.88435,-0.86984,135,,LF,,
LFGA,Colmar Houssen,LFGA,891,48.09708,48.12106,7.35027,7.36563,191,,LF,,
LFAD,Compiegne Margny,LFAD,796,49.42662,49.43662,2.79273,2.81065,96,,LF,,
LFID,Condom Valence Sur Baise,LFID,835,43.90587,43.91328,0.37622,0.39397,135,,LF,,
LFPK,Coulommiers Voisins,LFPK,843,48.83033,48.84709,2.98776,3.030938,143,,LF,,
LFGI,Dijon Darois,LFGI,1182,47.37963,47.39091,4.94028,4.95204,482,,LF,,
LFSE,Epinal Dogneville,LFSE|EPINAL,1017,48.20662,48.21596,6.44288,6.45367,317,,LF,LFSE,
LFAS,Falaise Monts-D'eraines,LFAS,856,48.92,48.932,-0.15,-0.12,156,,LF,,
LFMF,Fayence,LFMF,920,43.60377,43.62095,6.6818,6.7127,220,,LF,,
LFNO,Florac Sainte Enimie,LFNO,1631,44.27982,44.29041,3.45091,3.46953,931,,LF,,
LFFK,Fontenay Le Comte,LFFK,724,46.43722,46.44556,-0.80828,-0.78115,24,,LF,,
LFNA,Gap Tallard,LFNA,1300,44.44532,44.46301,6.02482,6.04675,600,,LF,,
LFCQ,Graulhet Montdragon,LFCQ,878,43.76683,43.77108,2.00233,2.01777,178,,LF,,
LFLG,Grenoble Le Versoud,LFLG,920,45.21311,45.22349,5.8385,5.8561,220,,LF,,
HABE,Habere Poche,HPoche,1792,46.26112,46.28147,6.44935,6.47918,1092,,LF,,
LFSH,Haguenau,LFSH,850,48.7874,48.80125,7.80606,7.82395,150,,LF,,
LFHA,Issoire Le Broc,LFHA,1078,45.50682,45.52153,3.26031,3.27027 ,378,,LF,,
LFEK,Issoudun Le Fay,LFEK,862,46.88316,46.89546,2.03041,2.04807 ,162,,LF,,
LFIX,Itxassou,LFIX,885,43.33389,43.33893,-1.43075,-1.41605 ,185,,LF,,
LFFJ,Joinville Mussey,LFFJ,1012,48.38243,48.38745,5.13424,5.15317 ,312,,LF,,
LFMG,La Montagne Noire,LFMG,1148,43.40437,43.41594,1.9799,2.00078 ,448,,LF,,
LAMOT,La Motte du Caire,LaMotteDC,1360,44.31547,44.3328,6.02411,6.03729 ,660,,LF,,
LFRI,La Roche Sur Yon Les Ajoncs,LFRI,791,46.69866,46.70675,-1.39343,-1.36322 ,91,,LF,,
LFKP,La Tour du Pin Cessieu,LFKP,1021,45.55363,45.5611,5.37942,5.39371 ,321,,LF,,
LFSU,Langres Rolampont,LFSU,1120,47.95774,47.97125,5.28878,5.29802 ,420,,LF,,
LFOV,Laval Entrammes,LFOV,801,48.02135,48.04389,-0.75941,-0.72566 ,101,,LF,,
LFEL,Le Blanc,LFEL,815,46.61391,46.62779,1.07668,1.09379 ,115,,LF,,
LFOY,Le Havre Saint-Romain,LFOY,829,49.53,49.55,0.33,0.39,129,,LF,,
LFRM,Le Mans Arnage,LFRM,759,47.93939,47.95926,0.19309,0.2091,59,,LF,,
LFNZ,Le Mazet de Romarin,LFNZ,820,43.76067,43.7817,4.88498,4.90543,120,,LF,,
LFHP,Le Puy Loudes,LFHP,1532,45.07211,45.08963,3.75173,3.77169,832,,LF,,
LFBL,Limoges Bellegarde,LFBL,1096,45.85061,45.8729,1.16936,1.19352,396,,LF,,
LFHJ,Lyon Corbas,LFHJ,899,45.64365,45.66555,4.90281,4.925,199,,LF,,
LFFC,Mantes Cherence,LFFC,856,49.07102,49.09233,1.66177,1.70941,156,,LF,,
LFQJ,Maubeuge Elesmes,LFQJ,838,50.30048,50.321508,4.01924,4.050141,138,,LF,,
LFNB,Mende Brenoux,LFNB,1725,44.49475,44.50815,3.52056,3.5442,1025,,LF,,
LFNC,Mont Dauphin Saint Crepin,LFNC,1603,44.68934,44.71274,6.58174,6.61324,903,,LF,,
LFNQ,Mont Louis La Quillane,LFNQ,2410,42.53683,42.5504,2.1126,2.12695,1710,,LF,,
LFFW,Montaigu St Georges,LFFW,756,46.92784,46.93678,-1.33767,-1.31877,56,,LF,,
LFEM,Montargis Vimory,LFEM,794,47.95531,47.96623,2.6761,2.69436,94,,LF,,
LFBK,Montlucon Gueret,LFBK,1117,46.21057,46.23492,2.35454,2.37252,417,,LF,,
LFHI,Morestel,LFHI,945,45.68329,45.69077,5.44639,5.458396,245,,LF,,
LFPU,Moret Episy,LFPU,777,48.33693,48.34517,2.78864,2.80597,77,,LF,,
LFHY,Moulins Montbeugny,LFHY,979,46.52985,46.54055,3.40822,3.43789,279,,LF,,
LFEZ,Nancy Malzeville,LFEZ,1080,48.71679,48.73132,6.1932,6.21972 ,380,,LF,,
LFCN,Nogaro,LFCN,793,43.76314,43.77772,-0.04825,-0.02481 ,93,,LF,,
LFCO,Oloron Herrere,LFCO,1000,43.15826,43.16922,-0.57303,-0.54985 ,300,,LF,,
LFOZ,Orléans Saint Denis de L'Hôtel,LFOZ,821,47.89231,47.904,2.15426,2.17488 ,121,,LF,,
LFLK,Oyonnax Arbent,LFLK,1235,46.27242,46.28433,5.65976,5.67407 ,535,,LF,,
LFHD,Pierrelatte,LFHD,759,44.38509,44.40885,4.70249,4.72768 ,59,,LF,,
LFRP,Ploermel Loyat,LFRP,772,47.99956,48.00447,-2.38809,-2.37 ,72,,LF,,
LFSV,Pont Saint Vincent,LFSV,1107,48.59432,48.60714,6.0482,6.09133 ,407,,LF,,
LFGO,Pont Sur Yonne,LFGO,771,48.28417,48.29721,3.23484,3.25284 ,71,,LF,,
LFTP,Puimoisson,LFTP,1471,43.86327,43.87234,6.15561,6.17295 ,771,,LF,,
LFNW,Puivert,LFNW,1191,42.90532,42.91614,2.04651,2.06258 ,491,,LF,,
LFQA,Reims Prunay,LFQA,795,49.20463,49.21261,4.14573,4.16903 ,95,,LF,,
LFIL,Rion Des Landes,LFIL,778,43.90782,43.92202,-0.96356,-0.94034 ,78,,LF,,
LFLO,Roanne Renaison,LFLO,1037,46.046,46.0655,3.989,4.009 ,337,,LF,,
LFHE,Romans Saint Paul,LFHE,781,45.05813,45.06804,5.08946,5.10853 ,181,,LF,,
LFYR,Romorantin Pruniers,LFYR,788,47.30269,47.32995,1.66482,1.71065 ,88,,LF,,
LFOP,Rouen Boos,LFOP,855,49.37594,49.39519,1.16121,1.20705 ,155,,LF,,
LFGP,Saint Florentin Cheu,LFGP,808,47.97504,47.98605,3.76027,3.79117,108,,LF,,
LFIM,Saint Gaudens Montrejeau,LFIM,1102,43.101445,43.11346,0.60335,0.63425,402,,LF,,
LFCG,Saint Girons Antichan,LFCG,1119,43.00115,43.01497,1.0968,1.10886,419,,LF,,
LFNL,Saint Martin De Londres,LFNL,880,43.79665 ,43.803141,3.774542,3.78851,180,,LF,,
LFOW,Saint Quentin Roupy,LFOW,799,49.81222,49.82094,3.20058,3.21223,99,,LF,,
LFSS,Saint Sulpice des Landes,LFSS,790,47.78572,47.79688,-1.65293,-1.62362,90,,LF,,
LFPZ,Saint-Cyr L'École,LFPZ,814,48.8 ,48.82,2.05,2.08,114,,LF,,
LFXB,Saintes Thénac,LFXB|lfxb,736,45.68853,45.71128,-0.64459,-0.62804,36,,LF,lfxb,
LFMY,Salon de Provence,LFMY,759,43.5948,43.62049,5.09466,5.1253,59,,LF,,
LFNE,Salon Eyguieres,LFNE,775,43.6499,43.667,4.99738,5.02272,75,,LF,,
LFGU,Sarreguemines,LFGU,960,49.12211 ,49.135884,7.09235,7.11864,260,,LF,,
LFOD,Saumur Saint Florent,LFOD,782,47.25285,47.26034,-0.12809,-0.10127,82,,LF,,
LFSJ,Sedan Douzy,LFSJ,856,49.65121,49.66333,5.02546,5.04777,156,,LF,,
LFTM,Serres La Batie Montsaleon,LFTM,1410,44.44729,44.46273,5.72268,5.73457,710,,LF,,
LFFZ,Sezanne Saint Remy,LFFZ,808,48.70522,48.71373,3.75299,3.77174,108,,LF,,
LFNS,Sisteron Vaumeilh,LFNS,1240,44.2781,44.29548,5.92347,5.93442,540,,LF,,
LFJS,Soissons Courmelles,LFJS,855,49.34187,49.34806,3.27231,3.29161,155,,LF,,
LFDT,Tarbes Laloubere,LFDT,1028,43.21162,43.21871,0.06887,0.08617 ,328,,LF,,
LFCT,Thouars,LFCT,804,46.95684,46.97078,-0.16245,-0.14613 ,104,,LF,,
LFIT,Toulouse Bourg Saint Bernard,LFIT,860,43.60555,43.61604,1.71585,1.73801 ,160,,LF,,
LFJT,Tours Le Louroux,LFJT,826,47.14304,47.15574,0.70445,0.71771 ,126,,LF,,
LFQB,Troyes Barberey,LFQB,812,48.30495,48.34176,3.98910,4.03897 ,112,,LF,,
LFLU,Valence Chabeuil,LFLU,860,44.90797,44.93593,4.9614,4.97715 ,160,,LF,,
LFHV,Villefranche Tarare,LFHV,1028,45.91153,45.92603,4.62766,4.64318 ,328,,LF,,
